,address,city,state,zip,country,lat,lng,Is_Walmart,Is_Walgreens,Is_Target,Is_CVS,Is_Rite,Is_SuperStopnShop
0,1752B Route 9,Clifton Park,NY,12065,US,42.871739,-73.774136,1,1,1,1,1,0
3,411 Furrows Rd,Holbrook,NY,11741,US,40.806919,-73.07295,0,0,0,1,0,1
17,260 Halstead Ave,Harrison,NY,10528,US,40.968672,-73.71364200000001,0,0,0,0,0,0
60,330 W. Route 59,Nanuet,NY,10954,US,41.101692,-74.02578100000001,0,0,0,0,0,1
78,1213 Liberty Ave,Brooklyn,NY,11208,US,40.679139,-73.864704,0,0,0,0,0,0
82,1066 Madison Av,Albany,NY,12210,US,42.665352,-73.790543,0,0,0,0,0,0
90,674 Broadway,Newburgh,NY,12550,US,41.502371999999994,-74.039397,1,1,1,0,1,1
93,314 S 2nd St,Fulton,NY,13069,US,43.317575,-76.41234399999999,1,0,0,0,1,0
102,4395 Union Rd,Cheektowaga,NY,14225,US,42.932902,-78.754065,1,0,1,0,1,0
107,3155 Delaware Ave,Kenmore,NY,14217,US,42.970351,-78.870541,0,1,0,0,1,0
112,207 S Broadway,Saratoga Springs,NY,12866,US,43.074622,-73.78755100000001,1,1,1,1,1,0
115,120 E Sunrise Hwy,Valley Stream,NY,11581,US,40.658311,-73.695194,1,0,1,0,0,0
116,21911 Hillside Ave,Queens Village,NY,11427,US,40.729890000000005,-73.74523,0,0,0,1,0,0
117,14625 Northern Blvd,Flushing,NY,11354,US,40.765370000000004,-73.81981,0,0,0,0,1,0
118,2073 Jericho Tpke,Commack,NY,11725,US,40.844806,-73.276264,1,1,1,1,1,0
119,1063 Northern Blvd,Roslyn,NY,11576,US,40.79891,-73.66323,0,0,0,0,0,0
122,1040 Central Ave,Albany,NY,12205,US,42.685553999999996,-73.796909,1,1,1,1,1,0
123,3000 Vestal Pky E,Vestal,NY,13850,US,42.0948,-76.00445,1,0,1,1,1,0
125,1200 State St,Schenectady,NY,12304,US,42.799064,-73.9256,0,0,1,1,1,0
126,301 Madison Ave,Elmira,NY,14901,US,42.092446,-76.800161,0,1,0,0,1,0
127,277 Ridge Rd E,Rochester,NY,14621,US,43.194472,-77.61085600000001,1,1,0,1,1,0
129,1311 Boston Post Rd,Larchmont,NY,10538,US,40.936103,-73.746717,0,0,0,1,0,0
138,1888 New York Ave,Huntington Station,NY,11746,US,40.837579999999996,-73.41194,0,1,0,1,1,0
172,667 New Loudon Rd,Latham,NY,12110,US,42.736224,-73.761719,1,1,1,1,1,0
178,1232 Western Ave,Albany,NY,12203,US,42.677847,-73.829086,0,0,0,1,1,0
193,2425 Hylan Blvd,Staten Island,NY,10306,US,40.571971000000005,-74.108255,0,0,0,1,1,1
209,2885 Long Beach Rd,Oceanside,NY,11572,US,40.64078,-73.6396,0,1,0,1,1,0
214,247 Greenwich St,Hempstead,NY,11550,US,40.70035,-73.61583,0,1,0,1,0,1
215,330 Boston Post Rd,Port Chester,NY,10573,US,40.994896999999995,-73.673939,0,1,0,1,0,0
236,580 Route 303,Blauvelt,NY,10913,US,41.062981,-73.949359,0,0,0,0,0,0
243,2102 Main St,Cortlandt Manor,NY,10567,US,41.305075,-73.879242,0,0,0,0,1,0
255,217 S Salina St,Syracuse,NY,13202,US,43.048835,-76.151999,0,0,0,0,1,0
259,1583 Route 22,Brewster,NY,10509,US,41.426012,-73.578179,0,0,0,0,1,0
269,1309 Fulton St,Brooklyn,NY,11216,US,40.680482,-73.948915,0,0,0,0,1,0
280,136 W Main St,Batavia,NY,14020,US,42.999953000000005,-78.19104399999999,1,0,1,1,1,0
316,764 Main St,Poughkeepsie,NY,12603,US,41.696228000000005,-73.90345,0,1,0,1,1,1
340,1582 Route 9,Wappingers Falls,NY,12590,US,41.597947,-73.910697,0,1,0,0,1,1
341,713 Upper Glen St,Queensbury,NY,12804,US,43.327306,-73.667997,1,0,1,1,1,0
344,314 Larkfield Rd,East Northport,NY,11731,US,40.87175,-73.32327,0,1,0,1,1,0
350,369 E Main St,Patchogue,NY,11772,US,40.76678,-73.00158,0,1,0,1,1,0
374,1250 Arsenal St,Watertown,NY,13601,US,43.976354,-75.944855,1,1,1,0,1,0
383,807 State Rt 82,Hopewell Junction,NY,12533,US,41.5787,-73.812336,0,0,0,1,1,0
384,311 Cornelia St,Plattsburgh,NY,12901,US,44.697269,-73.47685,1,1,1,0,1,0
416,1694 Islip Ave,Brentwood,NY,11717,US,40.78674,-73.22079000000001,0,0,0,0,1,0
418,229 Mamaroneck Ave,Mamaroneck,NY,10543,US,40.950392,-73.733693,0,0,0,1,0,0
427,1955a Victory Blvd,Staten Island,NY,10314,US,40.612640999999996,-74.129266,0,1,0,1,1,0
433,127 E Montauk Hwy,Hampton Bays,NY,11946,US,40.876490000000004,-72.52962,0,0,0,0,1,0
446,809B Route 50,Burnt Hills,NY,12019,US,42.909602,-73.899395,0,0,0,0,1,0
455,6601 Niagara Falls Blvd,Niagara Falls,NY,14304,US,43.088833,-78.98781899999999,1,0,1,0,1,0
458,1906 Deer Park Ave,Deer Park,NY,11729,US,40.76182,-73.32972,0,1,0,1,0,1
481,73 North Plank Rd,Newburgh,NY,12550,US,41.526664000000004,-74.033963,1,1,1,0,1,1
495,1051 Old Country Rd,Riverhead,NY,11901,US,40.932378,-72.673664,1,1,1,1,0,0
