,CensusTract,County_x,Borough,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Latitude,Longitude,County_y,State,Zipcode
60,36005000400,Bronx,Bronx,5915,2896,3019,62.7,3.6,30.7,0.0,0.3,4100,74836.0,8407.0,27700.0,2449.0,13.2,23.6,32.2,23.4,24.9,9.0,10.5,41.3,10.0,44.6,1.4,0.5,2.1,45.0,2675,71.7,25.3,2.5,0.6,9.5,40.8011055276,-73.84628140699999,Bronx,NY,11356
155,36005002701,Bronx,Bronx,3016,1375,1641,68.0,0.0,31.2,0.0,0.0,1456,20153.0,5229.0,10317.0,1573.0,52.6,64.9,19.9,35.9,25.8,4.9,13.5,14.0,1.7,64.7,18.0,0.0,1.6,42.8,1102,86.9,8.5,4.5,0.0,15.2,40.8056281407,-73.91592964819999,Bronx,NY,10454
157,36005002702,Bronx,Bronx,4778,2427,2351,71.3,1.6,26.2,0.0,0.0,2365,17147.0,7165.0,8911.0,1450.0,52.7,63.1,15.2,46.4,25.0,1.7,11.6,5.1,3.0,83.6,7.1,0.7,0.5,44.0,1559,75.0,14.0,11.0,0.0,10.6,40.8078894472,-73.91592964819999,Bronx,NY,10454
156,36005002702,Bronx,Bronx,4778,2427,2351,71.3,1.6,26.2,0.0,0.0,2365,17147.0,7165.0,8911.0,1450.0,52.7,63.1,15.2,46.4,25.0,1.7,11.6,5.1,3.0,83.6,7.1,0.7,0.5,44.0,1559,75.0,14.0,11.0,0.0,10.6,40.8056281407,-73.9127638191,Bronx,NY,10455
158,36005002800,Bronx,Bronx,5299,2292,3007,23.0,0.2,71.4,0.0,1.7,4056,49529.0,5441.0,26652.0,3069.0,8.5,6.5,36.6,24.4,26.6,4.9,7.4,42.8,3.7,48.2,2.0,0.6,2.7,47.3,2394,61.9,37.4,0.6,0.0,12.8,40.819195979899995,-73.8811055276,Bronx,NY,10474
174,36005003800,Bronx,Bronx,1193,542,651,53.1,1.8,42.7,0.0,0.8,846,37685.0,6696.0,19795.0,6558.0,31.3,45.0,35.7,31.9,17.6,3.2,11.6,41.6,1.7,47.3,6.9,1.3,1.1,41.3,476,71.8,27.1,1.1,0.0,13.1,40.8214572864,-73.8621105528,Bronx,NY,10473
177,36005004001,Bronx,Bronx,1419,675,744,51.3,11.2,10.8,0.0,21.6,936,48056.0,6057.0,22652.0,3344.0,16.6,28.6,18.1,17.9,42.7,9.5,11.8,31.0,3.0,62.9,3.2,0.0,0.0,47.4,602,81.9,16.9,1.2,0.0,6.8,40.828241206,-73.85894472359999,Bronx,NY,10472
188,36005004200,Bronx,Bronx,7120,3147,3973,46.5,5.1,47.0,0.0,0.8,5248,25741.0,7845.0,13846.0,1947.0,40.5,56.4,26.3,32.0,23.9,6.6,11.1,19.4,2.7,68.9,7.2,1.0,1.0,48.5,2094,71.8,24.2,3.4,0.6,21.0,40.8259798995,-73.85894472359999,Bronx,NY,10472
197,36005004600,Bronx,Bronx,1869,845,1024,59.7,3.0,36.6,0.4,0.0,1182,40950.0,10707.0,19260.0,4463.0,25.5,37.1,23.6,38.4,21.2,5.9,10.9,35.3,8.3,47.1,9.3,0.0,0.0,33.7,589,68.6,23.3,8.1,0.0,13.4,40.8214572864,-73.8684422111,Bronx,NY,10473
200,36005005001,Bronx,Bronx,4885,2313,2572,58.4,0.0,36.8,0.0,0.0,2288,27456.0,9296.0,15334.0,2365.0,34.4,50.2,12.3,36.9,24.5,15.6,10.6,14.7,4.3,69.6,8.0,0.0,3.3,48.2,1919,78.0,16.3,3.1,2.6,14.5,40.8259798995,-73.8779396985,Bronx,NY,10459
201,36005005002,Bronx,Bronx,5650,2867,2783,73.2,0.4,17.1,1.4,0.2,1995,28039.0,5380.0,12990.0,1906.0,45.6,60.7,5.4,43.4,19.8,18.5,12.9,5.4,3.4,75.1,10.4,2.3,3.3,48.2,2647,93.3,2.1,4.6,0.0,13.3,40.828241206,-73.8779396985,Bronx,NY,10459
215,36005005300,Bronx,Bronx,3727,1514,2213,44.1,3.0,50.7,0.5,0.2,2053,17719.0,4121.0,10031.0,1557.0,54.7,70.0,17.2,38.0,20.8,10.6,13.4,11.0,4.4,78.7,3.6,2.4,0.0,56.8,990,85.1,14.9,0.0,0.0,23.7,40.850854271399996,-73.92226130649999,Bronx,NY,10453
218,36005005600,Bronx,Bronx,2468,1084,1384,66.4,1.0,24.4,0.0,1.8,1296,17771.0,4860.0,13596.0,2014.0,38.0,52.0,21.1,33.0,23.8,10.7,11.4,17.6,7.4,65.0,8.7,0.0,1.3,40.0,821,87.3,10.2,2.4,0.0,16.8,40.8327638191,-73.8811055276,Bronx,NY,10459
219,36005005600,Bronx,Bronx,2468,1084,1384,66.4,1.0,24.4,0.0,1.8,1296,17771.0,4860.0,13596.0,2014.0,38.0,52.0,21.1,33.0,23.8,10.7,11.4,17.6,7.4,65.0,8.7,0.0,1.3,40.0,821,87.3,10.2,2.4,0.0,16.8,40.8327638191,-73.8779396985,Bronx,NY,10460
249,36005006300,Bronx,Bronx,4431,2394,2037,69.1,3.7,20.6,0.8,5.0,2523,32064.0,4061.0,19243.0,2473.0,27.7,45.0,19.9,25.9,33.4,5.4,15.5,12.9,0.8,73.3,10.4,2.7,0.0,41.4,2032,80.0,13.9,6.1,0.0,12.8,40.8305025126,-73.92542713569999,Bronx,NY,10452
252,36005006400,Bronx,Bronx,3590,1755,1835,54.8,8.3,31.8,0.0,1.1,2288,30726.0,8555.0,15846.0,3083.0,41.1,63.9,25.4,18.7,40.5,9.9,5.5,32.0,0.8,63.8,0.7,0.6,2.1,46.7,1459,79.4,13.0,7.5,0.0,12.2,40.8350251256,-73.8716080402,Bronx,NY,10460
267,36005007100,Bronx,Bronx,2547,1080,1467,60.7,1.1,36.4,0.0,0.9,1783,38289.0,6810.0,18245.0,3123.0,28.8,37.8,26.7,23.4,27.6,14.4,7.8,19.2,0.5,68.3,9.4,1.2,1.4,44.4,1011,78.2,19.8,2.0,0.0,16.5,40.8146733668,-73.9127638191,Bronx,NY,10455
276,36005007300,Bronx,Bronx,3761,1866,1895,63.0,2.0,33.9,0.1,0.0,1690,18358.0,5706.0,9872.0,1662.0,50.7,60.0,10.1,47.9,26.3,4.8,10.9,12.2,1.9,61.8,9.5,2.6,12.0,46.2,1127,91.2,5.3,3.5,0.0,20.2,40.8146733668,-73.90959798989999,Bronx,NY,10455
281,36005007500,Bronx,Bronx,5599,2072,3527,58.8,1.8,38.5,0.9,0.0,3307,25452.0,5317.0,13290.0,1603.0,31.7,43.5,19.5,40.5,25.1,6.5,8.4,18.6,3.8,63.1,10.1,1.8,2.7,38.8,2017,78.7,15.2,6.1,0.0,8.5,40.819195979899995,-73.90959798989999,Bronx,NY,10451
280,36005007500,Bronx,Bronx,5599,2072,3527,58.8,1.8,38.5,0.9,0.0,3307,25452.0,5317.0,13290.0,1603.0,31.7,43.5,19.5,40.5,25.1,6.5,8.4,18.6,3.8,63.1,10.1,1.8,2.7,38.8,2017,78.7,15.2,6.1,0.0,8.5,40.8169346734,-73.90959798989999,Bronx,NY,10455
282,36005007500,Bronx,Bronx,5599,2072,3527,58.8,1.8,38.5,0.9,0.0,3307,25452.0,5317.0,13290.0,1603.0,31.7,43.5,19.5,40.5,25.1,6.5,8.4,18.6,3.8,63.1,10.1,1.8,2.7,38.8,2017,78.7,15.2,6.1,0.0,8.5,40.8214572864,-73.9064321608,Bronx,NY,10456
305,36005008500,Bronx,Bronx,5959,3196,2763,77.4,1.0,19.5,0.0,1.0,2988,27174.0,7981.0,12216.0,1583.0,39.3,41.9,15.4,36.2,27.8,7.8,12.8,13.1,3.4,66.7,11.7,3.2,1.9,37.9,2188,82.8,5.3,9.8,2.1,15.1,40.8169346734,-73.9001005025,Bronx,NY,10455
304,36005008500,Bronx,Bronx,5959,3196,2763,77.4,1.0,19.5,0.0,1.0,2988,27174.0,7981.0,12216.0,1583.0,39.3,41.9,15.4,36.2,27.8,7.8,12.8,13.1,3.4,66.7,11.7,3.2,1.9,37.9,2188,82.8,5.3,9.8,2.1,15.1,40.8146733668,-73.8969346734,Bronx,NY,10474
310,36005008700,Bronx,Bronx,6002,2843,3159,76.9,2.2,20.5,0.0,0.0,3246,29188.0,5168.0,14050.0,1567.0,30.4,36.2,16.1,39.0,25.7,7.1,12.1,9.5,4.0,70.7,7.5,2.3,6.0,44.5,2236,80.6,15.2,4.2,0.0,8.3,40.819195979899995,-73.9001005025,Bronx,NY,10455
312,36005008700,Bronx,Bronx,6002,2843,3159,76.9,2.2,20.5,0.0,0.0,3246,29188.0,5168.0,14050.0,1567.0,30.4,36.2,16.1,39.0,25.7,7.1,12.1,9.5,4.0,70.7,7.5,2.3,6.0,44.5,2236,80.6,15.2,4.2,0.0,8.3,40.8214572864,-73.8969346734,Bronx,NY,10459
313,36005008900,Bronx,Bronx,3438,1661,1777,79.9,1.6,16.6,0.5,1.4,1672,20849.0,7996.0,11550.0,1928.0,32.5,26.8,15.9,41.7,21.1,7.4,13.9,11.7,4.9,67.7,10.4,1.1,4.1,44.3,1162,83.4,11.3,5.3,0.0,6.5,40.819195979899995,-73.8937688442,Bronx,NY,10474
343,36005009000,Bronx,Bronx,3476,1681,1795,66.5,3.3,24.6,0.0,4.7,2354,27000.0,12365.0,19161.0,5914.0,36.7,48.8,31.0,24.9,34.6,5.3,4.2,36.4,6.5,47.8,4.8,0.0,4.4,43.8,1075,78.5,17.6,3.9,0.0,14.6,40.8259798995,-73.8431155779,Bronx,NY,10472
314,36005009000,Bronx,Bronx,3476,1681,1795,66.5,3.3,24.6,0.0,4.7,2354,27000.0,12365.0,19161.0,5914.0,36.7,48.8,31.0,24.9,34.6,5.3,4.2,36.4,6.5,47.8,4.8,0.0,4.4,43.8,1075,78.5,17.6,3.9,0.0,14.6,40.8011055276,-73.8431155779,Bronx,NY,11356
