License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Number,Agency Zone Office Name,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,ZIP,License Certificate Number,License Received Date
2500672,RESTAURANT LIQUOR,241,RL,2,Albany,BROOME,PATRICK F NANNERY,BRASS RAIL GRILL,180 182 CLINTON ST,,BINGHAMTON,NY,13905,881732,01/10/2020
3100397,WINERY / FARM WINERY RETAIL,305,WA,3,Buffalo,STEUBEN,CHATEAU RENAISSANCE INC,CHATEAU RENAISSANCE WINE CELLARS,7494 FISH HATCHERY RD,RENAISSANCE WINE CELLARS,HAMMONDSPORT,NY,14840,914775,01/31/2020
1010820,CLUB LIQUOR,243,CL,1,New York City,KINGS,SWEDISH FOOTBALL CLUB INC,,725 65TH ST,,BROOKLYN,NY,11220,872560,01/16/2020
1017647,ON-PREMISES LIQUOR,252,OP,1,New York City,NASSAU,FOXSCO INC,CANTERBURY ALES OYSTER BAR & GRILL,46 AUDREY AVENUE,,OYSTER BAY,NY,11771,898670,12/18/2019
1025754,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,BALBONA RESTAURANT CORP,SAMS PLACE,132 E 39TH STREET,,NEW YORK,NY,10016,902902,12/19/2019
1028577,RESTAURANT LIQUOR,241,RL,1,New York City,NEW YORK,WAKO INTERNATIONAL CORP,RESTAURANT NIPPON,155 E 52ND STREET,,NEW YORK,NY,10022,902440,01/10/2020
2504842,CLUB LIQUOR,243,CL,2,Albany,ONONDAGA,ROBERT J HYDON POST 239 AMER  LEGION,,3808 JORDAN RD,,SKANEATELES,NY,13152,894298,01/30/2020
3012157,ON-PREMISES LIQUOR,252,OP,3,Buffalo,ONTARIO,WARFIELDS LLC,WARFIELDS,3 COULTER LN,,CLIFTON SPRINGS,NY,14432,913724,12/18/2019
2008496,ON-PREMISES LIQUOR,252,OP,2,Albany,ORANGE,"CAPTAINS TABLE OF MONROE N Y INC,THE",THE CAPTAINS TABLE,547 STATE ROUTE 17M,,MONROE,NY,10950,906571,12/19/2019
2009567,CLUB LIQUOR,243,CL,2,Albany,RENSSELAER,CHARLES WALDRON POST 731 THE,AMERICAN LEGION INC,181 MAIN STREET,,SCHAGHTICOKE,NY,12154,894540,01/10/2020
2009898,SUMMER RESTAURANT LIQUOR,541,SL,2,Albany,RENSSELAER,KAY'S BURDEN LAKE REST INC,,10 WALSH LANE,SECOND DYKE-BURDEN LAKE,AVERILL PARK,NY,12018,914751,12/19/2019
2000603,CLUB LIQUOR,243,CL,2,Albany,ALBANY,VOORHEESVILLE ROD & GUN CLUB INC,,38 FOUNDRY RD,,VOORHEESVILLE,NY,12186,914442,01/16/2020
2013493,ON-PREMISES LIQUOR,252,OP,2,Albany,ULSTER,DISCLAFANI-DORN CORP,THE CATSKILL ROSE,5355 ROUTE 212   T/O SHANDAKEN,,MOUNT TREMPER,NY,12457,914360,01/16/2020
3014214,RESTAURANT WINE,341,RW,3,Buffalo,WYOMING,LAURIES RESTAURANT INC,,46 N MAIN ST,,WARSAW,NY,14569,840135,11/08/2019
3014256,CLUB LIQUOR,243,CL,3,Buffalo,YATES,PENN YAN LODGE 1722 B P O E,,133 35 MAIN ST  ,,PENN YAN,NY,14527,909373,11/22/2019
3104795,ON-PREMISES LIQUOR,252,OP,3,Buffalo,CHAUTAUQUA,KOSCIUSZKO POLISH HOME ASSN INC,,252 NEVINS ST,,DUNKIRK,NY,14048,893173,01/09/2020
1109058,HOTEL LIQUOR,242,HL,1,New York City,NEW YORK,B D C 56 LLC & FELICE CHAMBERS LLC,CHAMBERS HOTEL,13 15 WEST 56TH STREET,,NEW YORK,NY,10019,897362,12/13/2019
3125963,GROCERY STORE BEER,122,A,3,Buffalo,STEUBEN,JAKES BOAT LIVERY LLC,JAKES BOAT LIVERY,12792 W LAKE ROAD ,,HAMMONDSPORT,NY,14840,924178,11/05/2019
1189562,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,39 ST MARKS INC,PAPER DAISY,41 ST MARKS PLACE,2ND AVENUE & 1ST AVENUE,NEW YORK,NY,10003,909695,12/05/2019
2144718,CLUB LIQUOR,243,CL,2,Albany,CLINTON,SARANAC AMERICAN LEGION POST 1618 INC,SARANAC AMERICAN LEGION ,275 WILSON RD,,SARANAC,NY,12981,900864,12/18/2019
3142069,ON-PREMISES LIQUOR,252,OP,3,Buffalo,TIOGA,"DENNIS A ROSE, DEBRA LEE EIKLOR",PUNKS PLACE,21 MILL ST,,CANDOR,NY,13743,897375,12/05/2019
1232070,HOTEL LIQUOR,242,HL,1,New York City,NEW YORK,"W 27 HIGHLINE OWNER LLC,W 27 HIGHLINE OPERATOR, & ",HABITA WORLD LLC/ DBA:HOTEL AMERICANO,516 518 W 27TH ST,,NEW YORK,NY,10001,909528,01/02/2020
1241602,ON-PREMISES LIQUOR,252,OP,1,New York City,KINGS,GLORIOUS DEEP LLC THE,PEARLS SOCIAL & BILLY CLUB,40 ST NICHOLAS AVENUE,COR OF ST NICHOLAS & STARR ST,BROOKLYN,NY,11237,910683,12/09/2019
1243517,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,SILKSTONEONE LLC,THE FAT RADISH,17 ORCHARD ST,,NEW YORK,NY,10002,897767,12/09/2019
1247333,WHOLESALE LIQUOR,203,LL,1,New York City,SUFFOLK,FAROPIAN SPIRIT LTD,,98A KEAN STREET,,WEST BABYLON,NY,11704,887631,01/24/2020
1258366,ON-PREMISES LIQUOR,252,OP,1,New York City,NEW YORK,BARNEYS INC,BARNEYS NEW YORK,660 MADISON AVE 8TH FL ,,NEW YORK,NY,10065,914639,01/07/2020
2185159,ON-PREMISES LIQUOR,252,OP,2,Albany,WARREN,99 WEST LLC,99 RESTAURANT ,578 AVIATION RD,,QUEENSBURY,NY,12804,893466,11/08/2019
1270256,WHOLESALE BEER(C),103,C,1,New York City,BRONX,MANHATTAN BEER DISTRIBUTORS LLC, ,955 E 149TH ST,,BRONX,NY,10455,920137,11/05/2019
2190825,GROCERY STORE BEER,122,A,2,Albany,ALBANY,HONEST WEIGHT FOOD COOPERATIVE INC,,100 WATERVLIET AVE,,ALBANY               ,NY,12206,921408,01/09/2020
