,NAME,ADDRESS,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,X,Y
0,RITE AID - 10870,811 NORTH MAIN STREET,JAMESTOWN,NY,14701,3550,CHAUTAUQUA,36013,-79.242222,42.101271000000004
1,SOUTHSIDE PHARMACY,766 FOOTE AVENUE,JAMESTOWN,NY,14701,8201,CHAUTAUQUA,36013,-79.22935,42.079522999999995
2,JOHNSON'S VILLAGE PHARMACY,99 EAST CHAUTAUQUA STREET,MAYVILLE,NY,14757,1017,CHAUTAUQUA,36013,-79.49776700000001,42.259163
3,THE CARE CENTER RX AND MEDICAL SUPPLY,15 WEST LUCAS AVENUE,DUNKIRK,NY,14048,3340,CHAUTAUQUA,36013,-79.334193,42.474224
4,RITE AID - 3373,3795 EAST MAIN ROAD,FREDONIA,NY,14063,1415,CHAUTAUQUA,36013,-79.30840400000001,42.449684999999995
5,TOPS,738 FOOTE AVENUE,JAMESTOWN,NY,14701,8201,CHAUTAUQUA,36013,-79.229885,42.080428000000005
6,TOPS,2000 WASHINGTON STREET,JAMESTOWN,NY,14701,3068,CHAUTAUQUA,36013,-79.243605,42.10985
7,WAL-MART SUPERCENTER - 1973,350 EAST FAIRMOUNT AVENUE,LAKEWOOD,NY,14750,2134,CHAUTAUQUA,36013,-79.299922,42.096987
8,WESTFIELD APOTHECARY,53 EAST MAIN STREET,WESTFIELD,NY,14787,1303,CHAUTAUQUA,36013,-79.576838,42.323131
9,WEGMANS,945 FAIRMOUNT AVENUE,JAMESTOWN,NY,14701,2454,CHAUTAUQUA,36013,-79.290865,42.094509
10,RITE AID - 3033,963 FAIRMOUNT AVENUE,JAMESTOWN,NY,14701,2452,CHAUTAUQUA,36013,-79.29241800000001,42.097012
11,LAKEWOOD APOTHECARY,130 CHAUTAUQUA AVENUE,LAKEWOOD,NY,14750,1241,CHAUTAUQUA,36013,-79.326495,42.102031
12,PHARMACY INNOVATIONS,863 FAIRMOUNT AVENUE,JAMESTOWN,NY,14701,2521,CHAUTAUQUA,36013,-79.287255,42.097035999999996
13,CVS - 309,175 EAST 4TH STREET,DUNKIRK,NY,14048,2217,CHAUTAUQUA,36013,-79.32844,42.483623
14,CVS - 5075,117 EAST MAIN STREET,WESTFIELD,NY,14787,1310,CHAUTAUQUA,36013,-79.57455,42.325059
15,KMART,975 FAIRMOUNT AVENUE,JAMESTOWN,NY,14701,2452,CHAUTAUQUA,36013,-79.292754,42.094445
16,THE RESOURCE CENTER PHARMACY,12 CARROLL STREET,JAMESTOWN,NY,14701,4755,CHAUTAUQUA,36013,-79.251271,42.097799
17,HERITAGE VILLAGE REHAB AND SKILLED NURSING,4570 ROUTE 60,GERRY,NY,14740,9540,CHAUTAUQUA,36013,-79.250574,42.19631
18,RITE AID - 10874,40 SOUTH ERIE STREET,MAYVILLE,NY,14757,1110,CHAUTAUQUA,36013,-79.50363,42.253526
19,RITE AID - 10873,279 EAST FAIRMOUNT AVENUE,LAKEWOOD,NY,14750,1900,CHAUTAUQUA,36013,-79.307061,42.099609
20,WALGREENS - 11729,327 MAIN STREET,DUNKIRK,NY,14048,2718,CHAUTAUQUA,36013,-79.32897,42.484466
21,PARKSIDE PHARMACY,975 BROADWAY STREET,BUFFALO,NY,14212,1317,ERIE,36029,-78.83851999999999,42.892918
22,RITE AID - 675,4018 SENECA STREET,WEST SENECA,NY,14224,3413,ERIE,36029,-78.754368,42.830661
23,RITE AID - 4672,9062 ERIE ROAD,ANGOLA,NY,14006,8824,ERIE,36029,-79.049133,42.638124
24,PARKVIEW HEALTH SERVICES,1770 COLVIN BOULEVARD,BUFFALO,NY,14223,1108,ERIE,36029,-78.853662,42.987099
25,TARGET,1575 NIAGARA FALLS BOULEVARD,AMHERST,NY,14228,2704,ERIE,36029,-78.818403,42.99794
26,RITE AID - 4969,3050 UNION ROAD,ORCHARD PARK,NY,14127,1215,ERIE,36029,-78.75273299999999,42.802371
27,CVS - 5087,19 SOUTH MAIN STREET,JAMESTOWN,NY,14701,6636,CHAUTAUQUA,36013,-79.238585,42.093586
28,BAILEY PRESCRIPTION CENTER HEALTH MART PHARMACY,2608 BAILEY AVENUE,BUFFALO,NY,14215,3246,ERIE,36029,-78.813906,42.925578
29,WALGREENS - 5610,3605 SHERIDAN DRIVE,AMHERST,NY,14226,1632,ERIE,36029,-78.800273,42.978989
