,Unnamed: 0,Brand,Store Number,Store Name,Ownership Type,Street Address,City,State/Province,Country,Postcode,Phone Number,Timezone,Longitude,Latitude,Zipcode,IsWalmart,IsCSV,IsWalgreen,IsTarget,IsCVS,IsRiteAid,IsSuperShop
20858,20858,Starbucks,7379-1056,Wolf Road,Company Owned,"18 Wolf Rd, Crossgates Mall",Albany,NY,US,122052609,(518) 435-9280,GMT-05:00 America/New_York,-73.82,42.71,12205,1,0,1,1,1,1,0
20859,20859,Starbucks,11064-103915,Crossgates Mall,Company Owned,"1 Crossgates Mall Road, B231",Albany,NY,US,122035367,518-218-1520,GMT-05:00 America/New_York,-73.85,42.69,12203,0,0,0,0,1,1,0
20860,20860,Starbucks,15207-156777,Target Colonie T-1268,Licensed,1440 Central Ave,Albany,NY,US,122055118,518-489-1112,GMT-05:00 America/New_York,-73.82,42.71,12205,1,0,1,1,1,1,0
20861,20861,Starbucks,7922-92120,North Pearl Street,Company Owned,10 North Pearl St,Albany,NY,US,122072702,518-463-6990,GMT-05:00 America/New_York,-73.75,42.65,12207,0,0,0,0,0,1,0
20862,20862,Starbucks,75393-105057,College St. Rose,Licensed,"420 Western Ave, Hilton Garden Inn at Albany Medical Ctr",Albany,NY,US,122031400,518-485-3946,GMT-05:00 America/New_York,-73.79,42.66,12208,0,0,1,0,1,1,0
20863,20863,Starbucks,11275-103630,New Scotland Avenue,Company Owned,62 New Scotland Ave,Albany,NY,US,122083466,518-694-8171,GMT-05:00 America/New_York,-73.78,42.65,12209,0,0,0,0,1,0,0
20864,20864,Starbucks,3503-140887,ALB Concourse B Times Square,Licensed,"737 Albany-Shaker Road, Crossgates Mall",Albany,NY,US,122111000,(518) 242-4333,GMT-05:00 America/New_York,-73.81,42.74,12110,1,0,1,1,1,1,0
20865,20865,Teavana,28442-249823,Teavana - Crossgates Mall,Company Owned,"1 CROSSGATE MALL RD, #B205A",ALBANY,NY,US,12203,518-218-0245,GMT-05:00 America/New_York,-73.85,42.69,12203,0,0,0,0,1,1,0
20866,20866,Starbucks,11810-104532,Albany Shaker Rd and Wolf Rd,Company Owned,243 Wolf Rd,Albany,NY,US,122051114,518-482-2370,GMT-05:00 America/New_York,-73.8,42.73,12205,1,0,1,1,1,1,0
20867,20867,Starbucks,11194-103976,1244 Western Ave,Company Owned,1244 Western Avenue,Albany,NY,US,122033322,518-591-0372,GMT-05:00 America/New_York,-73.83,42.68,12203,0,0,0,0,1,1,0
