,Latitude,Longitude,BlockCode,County,State,Zipcode
0,40.48,-74.28,340230076002012,Middlesex,NJ,08879
1,40.48,-74.2768341709,340230076005000,Middlesex,NJ,08879
2,40.48,-74.2736683417,340230076003018,Middlesex,NJ,08879
3,40.48,-74.2705025126,340230076003004,Middlesex,NJ,08879
4,40.48,-74.2673366834,340230074021000,Middlesex,NJ,08879
5,40.48,-74.2641708543,340230074021000,Middlesex,NJ,08879
6,40.48,-74.2610050251,340230074021000,Middlesex,NJ,08879
7,40.48,-74.257839196,340230074021000,Middlesex,NJ,08879
8,40.48,-74.2546733668,340230074025000,Middlesex,NJ,08879
9,40.48,-74.25150753770001,340230074025000,Middlesex,NJ,08879
10,40.48,-74.2483417085,340230074025000,Middlesex,NJ,08879
11,40.48,-74.2451758794,340230080015000,Middlesex,NJ,08879
12,40.48,-74.2420100503,340230080015000,Middlesex,NJ,08879
13,40.48,-74.2388442211,340230080015000,Middlesex,NJ,08879
14,40.48,-74.235678392,340230080015000,Middlesex,NJ,08879
15,40.48,-74.2325125628,360859901000011,Richmond,NY,08879
16,40.48,-74.2293467337,360859901000011,Richmond,NY,10307
17,40.48,-74.2261809045,360859901000011,Richmond,NY,10307
18,40.48,-74.2230150754,360859901000011,Richmond,NY,10307
19,40.48,-74.2198492462,360859901000011,Richmond,NY,10307
20,40.48,-74.2166834171,360859901000010,Richmond,NY,10307
21,40.48,-74.2135175879,360859901000010,Richmond,NY,10307
22,40.48,-74.2103517588,340258025001000,Monmouth,NJ,10307
23,40.48,-74.2071859296,340258025001000,Monmouth,NJ,10307
24,40.48,-74.2040201005,340258017005001,Monmouth,NJ,10307
25,40.48,-74.2008542714,340258017005001,Monmouth,NJ,07735
26,40.48,-74.1976884422,340258017005001,Monmouth,NJ,07735
27,40.48,-74.1945226131,340258017005001,Monmouth,NJ,07735
28,40.48,-74.1913567839,340258017005001,Monmouth,NJ,07735
29,40.48,-74.18819095479999,340258017005001,Monmouth,NJ,07735
30,40.48,-74.1850251256,340258017005001,Monmouth,NJ,07735
31,40.48,-74.1818592965,340258017005001,Monmouth,NJ,07735
32,40.48,-74.1786934673,340258017005001,Monmouth,NJ,07735
33,40.48,-74.1755276382,340258017005001,Monmouth,NJ,07735
34,40.48,-74.172361809,340258017005001,Monmouth,NJ,07735
35,40.48,-74.1691959799,340258017005001,Monmouth,NJ,07735
36,40.48,-74.1660301508,340258017005001,Monmouth,NJ,07735
37,40.48,-74.1628643216,340258017005001,Monmouth,NJ,07735
38,40.48,-74.1596984925,340258017005001,Monmouth,NJ,07734
39,40.48,-74.1565326633,340258017005001,Monmouth,NJ,07734
40,40.48,-74.1533668342,340258017005001,Monmouth,NJ,07734
41,40.48,-74.150201005,340258017005001,Monmouth,NJ,07734
42,40.48,-74.1470351759,340258017005001,Monmouth,NJ,07734
43,40.48,-74.1438693467,340258017005001,Monmouth,NJ,07734
44,40.48,-74.1407035176,340258017005001,Monmouth,NJ,07734
45,40.48,-74.1375376884,340258017005000,Monmouth,NJ,07734
46,40.48,-74.1343718593,340258017005000,Monmouth,NJ,07734
47,40.48,-74.1312060302,340258017005000,Monmouth,NJ,07734
48,40.48,-74.128040201,340258017005000,Monmouth,NJ,07734
