NAME,ADDRESS,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,X,Y, , , , , , , , , , , , , , , , , , , , , , 
RITE AID - 10870,811 NORTH MAIN STREET,JAMESTOWN,NY,14701,3550,CHAUTAUQUA,36013,-79.242222,42.101271, , , , , , , , , , , , , , , , , , , , , , 
SOUTHSIDE PHARMACY,766 FOOTE AVENUE,JAMESTOWN,NY,14701,8201,CHAUTAUQUA,36013,-79.22935,42.079523, , , , , , , , , , , , , , , , , , , , , , 
JOHNSON'S VILLAGE PHARMACY,99 EAST CHAUTAUQUA STREET,MAYVILLE,NY,14757,1017,CHAUTAUQUA,36013,-79.497767,42.259163, , , , , , , , , , , , , , , , , , , , , , 
THE CARE CENTER RX AND MEDICAL SUPPLY,15 WEST LUCAS AVENUE,DUNKIRK,NY,14048,3340,CHAUTAUQUA,36013,-79.334193,42.474224, , , , , , , , , , , , , , , , , , , , , , 
RITE AID - 3373,3795 EAST MAIN ROAD,FREDONIA,NY,14063,1415,CHAUTAUQUA,36013,-79.308404,42.449685, , , , , , , , , , , , , , , , , , , , , , 
TOPS,738 FOOTE AVENUE,JAMESTOWN,NY,14701,8201,CHAUTAUQUA,36013,-79.229885,42.080428, , , , , , , , , , , , , , , , , , , , , , 
TOPS,2000 WASHINGTON STREET,JAMESTOWN,NY,14701,3068,CHAUTAUQUA,36013,-79.243605,42.10985, , , , , , , , , , , , , , , , , , , , , , 
WAL-MART SUPERCENTER - 1973,350 EAST FAIRMOUNT AVENUE,LAKEWOOD,NY,14750,2134,CHAUTAUQUA,36013,-79.299922,42.096987, , , , , , , , , , , , , , , , , , , , , , 
WESTFIELD APOTHECARY,53 EAST MAIN STREET,WESTFIELD,NY,14787,1303,CHAUTAUQUA,36013,-79.576838,42.323131, , , , , , , , , , , , , , , , , , , , , , 
WEGMANS,945 FAIRMOUNT AVENUE,JAMESTOWN,NY,14701,2454,CHAUTAUQUA,36013,-79.290865,42.094509, , , , , , , , , , , , , , , , , , , , , , 
RITE AID - 3033,963 FAIRMOUNT AVENUE,JAMESTOWN,NY,14701,2452,CHAUTAUQUA,36013,-79.292418,42.097012, , , , , , , , , , , , , , , , , , , , , , 
LAKEWOOD APOTHECARY,130 CHAUTAUQUA AVENUE,LAKEWOOD,NY,14750,1241,CHAUTAUQUA,36013,-79.326495,42.102031, , , , , , , , , , , , , , , , , , , , , , 
PHARMACY INNOVATIONS,863 FAIRMOUNT AVENUE,JAMESTOWN,NY,14701,2521,CHAUTAUQUA,36013,-79.287255,42.097036, , , , , , , , , , , , , , , , , , , , , , 
CVS - 309,175 EAST 4TH STREET,DUNKIRK,NY,14048,2217,CHAUTAUQUA,36013,-79.32844,42.483623, , , , , , , , , , , , , , , , , , , , , , 
CVS - 5075,117 EAST MAIN STREET,WESTFIELD,NY,14787,1310,CHAUTAUQUA,36013,-79.57455,42.325059, , , , , , , , , , , , , , , , , , , , , , 
KMART,975 FAIRMOUNT AVENUE,JAMESTOWN,NY,14701,2452,CHAUTAUQUA,36013,-79.292754,42.094445, , , , , , , , , , , , , , , , , , , , , , 
THE RESOURCE CENTER PHARMACY,12 CARROLL STREET,JAMESTOWN,NY,14701,4755,CHAUTAUQUA,36013,-79.251271,42.097799, , , , , , , , , , , , , , , , , , , , , , 
HERITAGE VILLAGE REHAB AND SKILLED NURSING,4570 ROUTE 60,GERRY,NY,14740,9540,CHAUTAUQUA,36013,-79.250574,42.19631, , , , , , , , , , , , , , , , , , , , , , 
RITE AID - 10874,40 SOUTH ERIE STREET,MAYVILLE,NY,14757,1110,CHAUTAUQUA,36013,-79.50363,42.253526, , , , , , , , , , , , , , , , , , , , , , 
RITE AID - 10873,279 EAST FAIRMOUNT AVENUE,LAKEWOOD,NY,14750,1900,CHAUTAUQUA,36013,-79.307061,42.099609, , , , , , , , , , , , , , , , , , , , , , 
